GENOME,SAMPLE
BPAM22-1_SAMN07482804_MAG_00000056,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000057,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000058,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000060,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000061,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000062,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000063,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000064,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000068,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000072,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000073,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000074,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000077,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000080,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000083,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000089,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000093,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000097,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000098,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000099,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000100,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000101,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000103,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482804_MAG_00000104,BPAM22-1_SAMN07482804_METAG
BPAM22-1_SAMN07482805_MAG_00000015,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000016,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000017,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000018,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000022,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000023,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000027,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000028,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000029,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000030,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000031,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000033,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000035,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000036,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000038,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000040,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000041,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000042,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000043,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000045,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000046,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000047,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000048,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000050,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000051,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000052,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000053,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000054,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000055,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000056,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000058,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000059,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000060,BPAM22-1_SAMN07482805_METAG
BPAM22-1_SAMN07482805_MAG_00000061,BPAM22-1_SAMN07482805_METAG
